drug_id,drug_name,condition,reason,source
drug_000109,Adlyxin,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000110,Admelog,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000111,Adoxa,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000111,Adoxa,pregnancy,Pregnancy category D,drugs_com
drug_000112,Adoxa Ck,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000112,Adoxa Ck,pregnancy,Pregnancy category D,drugs_com
drug_000113,Adoxa Pak,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000113,Adoxa Pak,pregnancy,Pregnancy category D,drugs_com
drug_000114,Adoxa Tt,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000114,Adoxa Tt,pregnancy,Pregnancy category D,drugs_com
drug_000117,Advil,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000118,Advil Allergy Sinus,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000118,Advil Allergy Sinus,pregnancy,Pregnancy category D,drugs_com
drug_000119,Advil Children S,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000120,Advil Children S Allergy Sinus,concurrent alcohol use,Alcohol interaction flag,drugs_com
