drug_id,drug_name,condition,reason,source
drug_002660,Tusnel C,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002661,Tussicaps,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002663,Tussionex Pennkinetic,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002664,Tuzistra Xr,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002665,Twilite,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002667,Twynsta,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002667,Twynsta,pregnancy,Pregnancy category D,drugs_com
drug_002669,Tycolene,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002670,Tygacil,pregnancy,Pregnancy category D,drugs_com
drug_002671,Tylenol,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002672,Tylenol 8 Hour,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002673,Tylenol Allergy Multi Symptom,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002674,Tylenol Arthritis Pain,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002675,Tylenol Children S Cold Cough Runny Nose,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002676,Tylenol Children S Cold Cough Sore Throat,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002677,Tylenol Children S Cold Flu,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002678,Tylenol Cold,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002679,Tylenol Cold And Cough Nighttime,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002680,Tylenol Cold And Flu Severe,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002681,Tylenol Cold Max Day,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002682,Tylenol Cold Multi Symptom Nighttime,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002683,Tylenol Cold Multi Symptom Nighttime Liquid,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002684,Tylenol Cold Multi Symptom Severe,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002685,Tylenol Cough And Sore Throat Daytime,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002686,Tylenol Cough And Sore Throat Nightime,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002687,Tylenol Plus Children S Cold,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002688,Tylenol Pm,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002689,Tylenol Sinus Congestion And Pain Nighttime,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002690,Tylophen,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002697,Ultracet,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002701,Ultram,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002706,Unisom Sleepgels,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002707,Unisom Sleepmelts,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002708,Unisom Sleeptabs,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002710,Up And Up Anti Diarrheal Solution,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002713,Urelle,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002714,Uretron Ds,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002715,Uribel,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002716,Urimar T,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002717,Urin D S,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002718,Urised,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002719,Uro 458,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002721,Uro Mp,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002722,Uro Sp,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002723,Uroav 81,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002724,Uroav B,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002725,Urogesic Blue,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002727,Ustell,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002728,Uta,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002729,Uticap,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002730,Utira C,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002731,Utrona C,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002734,Valium,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002734,Valium,pregnancy,Pregnancy category D,drugs_com
drug_002735,Valproic Acid,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002735,Valproic Acid,pregnancy,Pregnancy category D,drugs_com
drug_002736,Valsartan,pregnancy,Pregnancy category D,drugs_com
drug_002737,Valtoco,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002737,Valtoco,pregnancy,Pregnancy category D,drugs_com
drug_002738,Valu Dryl,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002739,Vanacof,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002740,Vanamine Pd,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002747,Vanquish,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002748,Vardenafil,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002749,Vaseretic,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002749,Vaseretic,pregnancy,Pregnancy category D,drugs_com
drug_002750,Vasotec,pregnancy,Pregnancy category D,drugs_com
drug_002751,Vazalore,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002754,Veklury,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002756,Venlafaxine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002757,Verapamil,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002759,Verelan,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002760,Verelan Pm,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002761,Versacloz,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002763,Vi Sudo,concurrent alcohol use,Alcohol interaction flag,drugs_com
